,open,high,low,close,volume,date
0,2303.5500,2311.0000,2253.0000,2261.8501,28528,2022-05-05
1,2351.0000,2406.3000,2273.5500,2288.3999,566492,2022-05-04
2,2425.0000,2450.0000,2374.0000,2386.6001,65400,2022-05-02
3,2515.0000,2531.6499,2450.0000,2459.2000,46932,2022-04-29
4,2525.0000,2530.0000,2477.9500,2514.3501,17742,2022-04-28
5,2540.0000,2540.0000,2489.0000,2491.5500,13458,2022-04-27
6,2480.0000,2552.5500,2465.2000,2547.3000,21717,2022-04-26
7,2487.0000,2487.0000,2448.0000,2453.8999,52510,2022-04-25
8,2520.0000,2525.5000,2479.0000,2512.7000,15359,2022-04-22
9,2483.5500,2524.4500,2466.0500,2520.6001,50987,2022-04-21
10,2490.6001,2504.9500,2444.8501,2483.5500,14771,2022-04-20
11,2498.0000,2520.3000,2441.0500,2452.3999,16753,2022-04-19
12,2430.0000,2499.9500,2399.0000,2491.3999,64382,2022-04-18
13,2488.0000,2495.0000,2440.8501,2461.6499,49542,2022-04-13
14,2484.0000,2508.0000,2440.7500,2488.3501,26787,2022-04-12
15,2509.0000,2509.0000,2478.0000,2489.1001,43308,2022-04-11
16,2480.0000,2531.8501,2459.0000,2514.5000,117944,2022-04-08
17,2517.0000,2546.5000,2452.5000,2458.9500,146259,2022-04-07
18,2554.0000,2565.3501,2524.0000,2541.2500,30661,2022-04-06
19,2535.0000,2576.8999,2521.4500,2547.9500,47507,2022-04-05
20,2530.0000,2562.0000,2510.0000,2516.5000,79598,2022-04-04
21,2538.0000,2548.0500,2492.0000,2521.6499,50321,2022-04-01
22,2517.0000,2545.0000,2517.0000,2536.1499,43690,2022-03-31
23,2559.0000,2564.2000,2511.0000,2523.5500,63525,2022-03-30
24,2560.0000,2560.0000,2527.0000,2538.8999,22331,2022-03-29
25,2530.0000,2545.0000,2483.4500,2535.8501,74135,2022-03-28
26,2625.0000,2632.7000,2519.5000,2524.6001,123239,2022-03-25
27,2699.0000,2699.0000,2612.5500,2618.7000,40600,2022-03-24
28,2717.0000,2742.0000,2677.8999,2689.3999,64072,2022-03-23
29,2717.0000,2718.0000,2647.0000,2712.8000,29475,2022-03-22
30,2732.3000,2767.5500,2699.2000,2705.7000,89999,2022-03-21
31,2612.0000,2720.0000,2600.4500,2703.2500,121273,2022-03-17
32,2579.0000,2593.0000,2565.7500,2586.9500,24191,2022-03-16
33,2560.0000,2579.0000,2544.0000,2555.7000,27382,2022-03-15
34,2483.0000,2545.0000,2480.0000,2538.0000,42092,2022-03-14
35,2475.0000,2498.3501,2450.0000,2494.7000,25550,2022-03-11
36,2517.6001,2517.6001,2446.3501,2467.0000,32008,2022-03-10
37,2405.4500,2460.0000,2375.5500,2432.8999,53473,2022-03-09
38,2390.0000,2418.2000,2326.5500,2369.9500,82279,2022-03-08
39,2415.3501,2419.6001,2320.9500,2389.7500,119752,2022-03-07
40,2570.0000,2570.0000,2429.9500,2443.6001,64119,2022-03-04
41,2629.0000,2640.4500,2561.5000,2573.5500,51436,2022-03-03
42,2554.0000,2605.0000,2529.1499,2592.5500,108571,2022-03-02
43,2449.0000,2561.9500,2436.2000,2544.6499,32136,2022-02-28
44,2439.0000,2473.0500,2424.8501,2467.8999,58325,2022-02-25
45,2420.0000,2463.8999,2395.1499,2406.6499,58771,2022-02-24
46,2458.0000,2525.0000,2453.0000,2491.1001,47186,2022-02-23
47,2430.0000,2457.2000,2385.0000,2445.0500,35893,2022-02-22
48,2487.0000,2487.0000,2411.8501,2453.3501,22374,2022-02-21
49,2472.0000,2498.8000,2461.0000,2487.5500,21154,2022-02-18
50,2515.0000,2536.0000,2485.2000,2493.3501,27658,2022-02-17
51,2509.0000,2519.5500,2461.0500,2487.8501,35696,2022-02-16
52,2420.0000,2500.0000,2399.8000,2495.0500,31247,2022-02-15
53,2415.0000,2422.8000,2352.7500,2397.3999,29325,2022-02-14
54,2470.0000,2475.1499,2421.8999,2442.1499,21345,2022-02-11
55,2491.0000,2502.1001,2465.3000,2491.1499,34577,2022-02-10
56,2460.0000,2494.0000,2460.0000,2485.7000,22483,2022-02-09
57,2424.0000,2465.9500,2401.1499,2443.6001,54800,2022-02-08
58,2489.0000,2496.7500,2388.5000,2410.3501,40748,2022-02-07
59,2516.3501,2519.0000,2430.0000,2470.7000,101932,2022-02-04
60,2484.0000,2505.0000,2417.2000,2475.4500,176812,2022-02-03
61,2441.1001,2477.1499,2441.1001,2464.1001,38127,2022-02-02
62,2381.6001,2439.8999,2359.0000,2432.1001,64882,2022-02-01
63,2342.0000,2379.9500,2337.7000,2360.8999,49131,2022-01-31
64,2315.0000,2377.0500,2309.3501,2316.0000,45857,2022-01-28
65,2359.3999,2359.3999,2260.3999,2310.4500,91812,2022-01-27
66,2395.0000,2407.0500,2332.3999,2379.3999,43193,2022-01-25
67,2518.0000,2520.0000,2376.1001,2402.9500,74143,2022-01-24
68,2550.0000,2560.0000,2505.2000,2528.7000,76850,2022-01-21
69,2595.0000,2609.9500,2550.3000,2566.3999,92808,2022-01-20
70,2587.0000,2616.9500,2573.3501,2589.6001,31725,2022-01-19
71,2605.0000,2634.1001,2587.6001,2604.0000,29637,2022-01-18
72,2595.0000,2603.1499,2551.3999,2597.2000,26911,2022-01-17
73,2643.0500,2643.0500,2588.7500,2591.9500,31737,2022-01-14
74,2626.3501,2627.7500,2587.0000,2618.6499,15782,2022-01-13
75,2650.0000,2671.1499,2607.7500,2612.5000,35301,2022-01-12
76,2641.1001,2678.8501,2637.3000,2651.2000,24337,2022-01-11
77,2589.5000,2662.8501,2570.6001,2657.3501,94232,2022-01-10
78,2645.0000,2687.3000,2563.0000,2572.8000,170970,2022-01-07
79,2525.0000,2600.0000,2525.0000,2596.7500,50811,2022-01-06
80,2578.0000,2610.0000,2560.0000,2576.3999,26820,2022-01-05
81,2530.0000,2595.0000,2525.8000,2579.6499,29663,2022-01-04
82,2519.7000,2545.0000,2502.5000,2523.7500,45253,2022-01-03
83,2440.0000,2533.5000,2440.0000,2524.3501,71718,2021-12-31
84,2381.0000,2446.3999,2381.0000,2436.6499,18408,2021-12-30
85,2385.0000,2430.0000,2370.0000,2401.5500,68077,2021-12-29
86,2356.6499,2384.7000,2330.0000,2380.3000,22987,2021-12-28
87,2316.3999,2342.0000,2286.7500,2330.9500,13243,2021-12-27
88,2330.1499,2344.8501,2310.7000,2316.3999,17198,2021-12-24
89,2305.0000,2336.0000,2305.0000,2327.3501,38535,2021-12-23
90,2305.0000,2305.8000,2284.7000,2300.3999,10650,2021-12-22
91,2253.0000,2311.6001,2252.0000,2287.5000,31421,2021-12-21
92,2250.0000,2263.4500,2205.0000,2239.6001,59772,2021-12-20
93,2350.0000,2350.0000,2257.7500,2280.6001,44002,2021-12-17
94,2326.0000,2362.8999,2326.0000,2357.2000,13689,2021-12-16
95,2370.0000,2370.0000,2319.0000,2323.1001,77962,2021-12-15
96,2331.0000,2371.6499,2319.4500,2353.3501,16224,2021-12-14
97,2340.4500,2385.6001,2340.0000,2350.3999,45234,2021-12-13
98,2372.5000,2382.4500,2297.0000,2340.4500,84313,2021-12-10
99,2442.7500,2442.7500,2356.8000,2373.4500,21837,2021-12-09
100,2399.0000,2417.7500,2377.8999,2405.1001,79348,2021-12-08
101,2335.0000,2384.7500,2327.6001,2381.5000,20903,2021-12-07
102,2349.5500,2378.3000,2319.4500,2326.0000,24929,2021-12-06
103,2392.1499,2403.6001,2354.8501,2369.5500,25491,2021-12-03
104,2380.0000,2422.6499,2360.3000,2387.0000,29335,2021-12-02
105,2410.2000,2440.1001,2347.7000,2359.5000,27928,2021-12-01
106,2328.0000,2389.8999,2328.0000,2374.8999,41994,2021-11-30
107,2280.7000,2333.2000,2230.3000,2324.2500,28667,2021-11-29
108,2379.9500,2383.0000,2285.1001,2291.8000,69576,2021-11-26
109,2355.0000,2403.3999,2355.0000,2397.9500,32534,2021-11-25
110,2400.0000,2404.8999,2367.0000,2376.2000,25233,2021-11-24
111,2387.0000,2410.7000,2365.2500,2389.1001,32348,2021-11-23
112,2479.3501,2488.3999,2353.3999,2392.8999,74679,2021-11-22
113,2504.0000,2520.3000,2457.5500,2479.3501,18835,2021-11-18
114,2529.2000,2538.6001,2490.0500,2497.0500,33993,2021-11-17
115,2554.0000,2554.0000,2520.0000,2529.3000,45421,2021-11-16
116,2554.4500,2572.5000,2535.0000,2539.6001,25766,2021-11-15
117,2545.0000,2561.0000,2524.5500,2539.0000,37761,2021-11-12
118,2483.4500,2542.6001,2479.3501,2528.0000,56457,2021-11-11
119,2511.0000,2525.0000,2474.2000,2483.4500,21554,2021-11-10
120,2526.0000,2544.1001,2484.9500,2511.8501,74826,2021-11-09
